Gene_ID	WT.0h.rep1	WT.0h.rep2	WT.0h.rep3	WT.3h.rep1	WT.3h.rep2	WT.3h.rep3	WT.24h.rep1	WT.24h.rep2	WT.24h.rep3
AT2G02720	0	0	0	0.113907137	0.147680238	0.393594749	0	0.108542008	0.085092984
AT2G02750	0.410497613	0.650462244	0.712199955	0.706952171	0.755468649	0.637748027	1.168072946	1.143170575	1.386982581
AT2G02760	43.50980825	40.69984322	42.98865858	40.93086864	38.41712577	41.43409179	76.58931704	74.24440185	71.4716408
AT2G02990	1.019376684	0.591822087	0.572780455	4.961977935	1.143677959	0.439631277	1.878824476	1.313406755	1.830512176
AT2G03020	0.824465777	0.417879673	0.754944524	0.635839087	0.471064767	0.386299524	1.619155771	1.038669419	2.442837079
AT2G03340	13.76339488	13.76080421	12.91573971	21.12516996	20.98993577	20.24903773	24.91972602	26.96639191	25.92976194
AT2G03430	11.55990524	9.324309751	8.841773496	12.34784396	13.21534824	11.66372507	22.54184075	24.23566116	23.03015319
AT2G03440	68.16907342	84.20382078	83.6736346	149.4473573	150.1411806	153.207025	138.7509877	220.2277025	223.5661088
AT2G03480	6.811289661	6.572340023	6.893463018	9.936046459	8.953794545	7.738538855	13.70198039	11.35520787	9.222409371
AT2G03760	33.96523308	42.91898965	36.47274033	72.46906821	85.61294171	89.67750152	113.784462	112.1797115	180.1951372
AT2G03770	0.044204038	0.161314368	0.227681044	0.920450194	0.681920418	0.932021636	0.551509216	0.542964292	0.742183812
AT2G03820	64.88849524	66.76193895	64.48667881	68.50081357	74.78828265	72.66923836	170.0366953	147.7261916	165.5909476
AT2G04040	1.997064152	3.207707791	2.636756276	2.454343798	1.677807593	1.660564511	9.650663974	9.647310752	17.36258161
AT2G04070	0.272179407	0.110363093	0.249228481	1.049542082	0.497637651	1.657868789	0.408757462	0.314319565	0.657106935
AT2G04135	0.544358814	0.662178559	0.311535601	0.479790666	0.062204706	0.191292553	3.01851664	0.285745059	0.955791905
AT2G04305	10.87647448	10.07250651	9.909292896	14.93054738	13.40614606	13.59819076	16.59309911	17.94551198	18.02943641
AT2G04430	2.303773984	3.097386625	2.779145042	3.937464318	3.928052802	2.716309552	5.357778879	4.582603007	4.70031047
AT2G04440	0	0	0	0.701693849	0.566062828	0.580254076	0.245254477	0.742937154	0.310632369
AT2G04852	0.669365846	0.431069199	0.365049759	1.093180099	0.769393872	0.871701875	0.777817689	1.339316144	1.205526987
AT2G04865	12.75947685	14.24365064	13.81112445	16.76492151	16.97452098	17.01258542	25.74965218	32.67820974	35.28165593
AT2G05280	0.064243056	0.210998714	0.13235828	0.369464947	0.753202122	0.446996561	0.293892466	0.37634301	0.329936337
AT2G05290	0.11330904	0.103375037	0.175085729	0.16852909	0.233063922	0.447950355	0.176711741	0.535304063	0.447636165
AT2G05380	663.7973319	715.1075638	659.1194838	720.5745832	713.7434706	692.909344	862.0560702	1080.032289	1467.253644
AT2G05441	0	0	0	3.756025471	3.376308005	5.590769202	1.181517919	1.550949095	1.745889959
AT2G05510	20.38753368	22.5067316	20.60692901	16.03295552	44.16963151	19.47179143	33.42347343	59.60149273	52.20115757
AT2G05518	2.132693436	2.038369616	3.13852304	1.510495566	3.13336427	2.783662272	6.652107733	7.67653263	7.923860926
